Min, Max
13,3427
12,3356
13,1407
11,3094
13,1214
13,142
13,3235
13,1344
12,10135
13,10084
12,4458
13,160
13,1270
13,997
13,3759
13,4153
13,4439
13,168
13,3272
12,1266
13,3413
13,505
13,3298
13,936
13,1365
13,212
13,3463
13,1492
13,8771
13,1511
13,10217
13,1260
13,823
13,1404
13,1271
13,6816
13,1307
13,1506
13,1514
13,1276
13,1269
13,818
12,1287
13,935
13,1249
13,6804
13,3419
13,1262
13,3353
13,3895
13,3338
13,949
13,3273
13,1458
13,3892
13,3896
13,905
13,1270
13,10138
13,1238
13,968
13,1244
13,3339
13,10162
12,3723
13,1271
13,3896
13,3864
13,2305
13,3418
13,2326
13,1258
13,1254
13,10120
13,3305
13,3373
13,1227
13,861
13,10126
13,4063
13,944
13,10149
13,2868
13,10198
13,783
13,1429
13,10121
13,985
13,574
13,1450
13,3382
13,3349
13,1257
13,3380
13,3336
13,943
13,1492
13,1267
13,2713
13,1525
13,1898
13,1262
13,1258
13,3300
13,1544
13,10149
13,733
13,2177
13,3354
13,1253
13,3398
13,3870
13,10130
13,3929
13,9971
13,3309
13,1263
13,3888
12,1599
12,1485
13,1233
13,3358
13,1481
13,3293
13,1236
13,3768
13,3373
13,3334
13,1291
13,1519
13,1260
13,10100
13,4339
13,3350
13,1509
13,4632
13,3288
13,1268
13,2012
13,3351
13,870
13,1262
13,10578
13,857
13,2831
13,10158
13,1521
13,1253
13,3686
12,3362
13,927
13,1278
13,950
13,3323
13,10092
13,694
13,3446
13,950
13,3334
13,2404
13,904
12,1627
13,4014
13,10164
13,3293
13,3296
13,1032
13,1253
13,3363
13,10105
13,3290
13,10107
13,2667
13,3294
13,3298
13,1273
13,10205
13,1244
13,10077
13,724
11,10128
13,1616
13,3291
12,1600
13,3901
13,868
12,1607
13,1492
12,10119
13,1506
13,10113
13,1256
13,1284
13,2770
13,1294
13,10072
13,921
13,3884
13,1070
12,3336
13,871
13,1247
13,3708
13,1257
13,1263
13,1440
13,5243
13,1272
13,869
13,1648
13,1264
13,2636
13,3534
13,3349
13,3449
11,3886
13,3830
13,821
13,627
13,874
13,941
13,10027
13,1255
13,3533
13,10092
13,1274
13,3901
13,3292
13,998
13,1516
13,3524
12,2828
13,1376
13,763
13,1245
13,4289
13,764
13,3351
13,1132
13,1528
13,3675
13,1234
13,1259
13,1247
13,3425
13,4173
13,3328
13,1530
12,1631
13,3383
13,3317
13,2746
12,8905
13,1249
13,713
13,10077
13,1632
13,1262
13,3938
13,685
13,1503
13,1276
13,1266
13,1265
13,521
13,1242
12,3297
13,3395
13,3347
13,1597
13,6815
13,1254
13,10166
13,996
13,10137
13,1318
13,1286
13,3291
13,914
13,3345
13,1614
13,2437
12,1012
13,1474
13,927
13,1599
13,885
13,1489
12,3287
13,9757
13,3333
13,8810
13,995
12,3464
13,691
13,6806
13,3352
13,3798
12,818
13,2575
